No.,Word,Việt Note,Phonetics,Note,Example,Type,Level
63,toe,ngón chân,/təʊ/,one of the five small parts that stick out from the foot; any similar part on the foot of an animal or bird,She stubbed her toe on the table.,noun,B1
64,top,đỉnh,/tɒp/,the highest part or point of something,She was standing at the top of the mountain.,noun,B2
65,too,"chỉ mức cao hơn mức được cho phép, mong muốn hoặc có thể",/tuː/,"used before adjectives and adverbs to say that something is more than is good, necessary, possible, etc.",The dress was too tight for me.,adverb,A1
66,have,có,/hæv/ /həv/,"to own, hold or possess something",I don't have that much money on me.,verb,A1
67,picture,"bức tranh, bức vẽ, hình ảnh",/ˈpɪktʃə(r)/,"a painting or drawing, etc. that shows a scene, a person or thing",He likes books with lots of pictures in them.,noun,A1
68,thousand,nghìn,/ˈθaʊznd/,1000,There were thousands of people there.,number,A1
69,tonight,"đêm nay, tối nay",/təˈnaɪt/,on or during the evening or night of today,Will you have dinner with me tonight?,adverb,A1
70,almost,"hầu như, gần như",/ˈɔːlməʊst/,not quite,I like almost all of them.,adverb,A2
71,cop,"cớm, cảnh sát",/kɑːp/,a police officer,Somebody call the cops!,noun,C1
72,cow,bò cái,/kaʊ/,a large animal kept on farms to produce milk or beef,The cow was grazing in the field when we drove by.,noun,A1
73,lab,phòng thí nghiệm,/læb/,a laboratory,The lab is where scientists conduct experiments and research.,noun,A2
74,upon,"trên, ở trên",/əˈpɒn/,= on,He placed his hat upon the table.,preposition,B1
75,wake,"thức dậy, tỉnh dậy",/weɪk/,to stop sleeping; to make somebody stop sleeping,I always wake early in the summer.,verb,A1
76,west,"hướng tây, phía tây",/west/,the direction that you look towards to see the sun go down; one of the four main points of the compass,Which way is west?,noun,A1
77,everyone,mọi người,/ˈevriwʌn/,every person; all people,Everyone cheered and clapped.,pronoun,A1
78,less,"kém, ít hơn",/les/,used with uncountable nouns to mean ‘a smaller amount of’,He decided to eat less sugar to improve his health.,"determiner, pronoun",A2
79,snow,tuyết,/snəʊ/,small soft white pieces (called flakes) of frozen water that fall from the sky in cold weather; this substance when it is lying on the ground,Heavy snow is expected tomorrow.,noun,A1
80,try,"cố, gắng sức",/traɪ/,to make an attempt or effort to do or get something,I don't know if I can come but I'll try.,verb,A1
81,chicken,gà,/ˈtʃɪkɪn/,a large bird that is often kept for its eggs or meat,They keep chickens in the back yard.,noun,A1
82,fruit,"trái cây, quả",/fruːt/,"the part of a plant that consists of one or more seeds and a soft inner part, can be eaten as food and usually tastes sweet",Banana is my favourite fruit.,noun,A1
83,cause,nguyên nhân,/kɔːz/,the person or thing that makes something happen,Unemployment is a major cause of poverty.,noun,B2
84,busy," bận rộn, bận",/ˈbɪzi/,having a lot to do; perhaps not free to do something else because you are working on something,Are you busy tonight?,adjective,A1
85,working,"(thuộc) lao động, tham gia vào lao động (nhất là lao động chân tay), làm việc",/ˈwɜːkɪŋ/,having a job for which you are paid,She has a difficult working relationship with many of her employees.,adjective,A2
86,cry,khóc,/kraɪ/,to produce tears from your eyes because you are unhappy or hurt,It's all right. Don't cry.,verb,A2
87,opening,khe hở; lỗ hổng,/ˈəʊpənɪŋ/,a space or hole that somebody/something can pass through,We could see the stars through an opening in the roof.,noun,B2
88,doctor,bác sĩ,/ˈdɒktə(r)/,"a person who has been trained in medical science, whose job is to treat people who are ill or injured",You'd better see a doctor about that cough.,noun,A1
89,English,tiếng Anh,/ˈɪŋɡlɪʃ/,"the language, originally of England, now spoken in many other countries and used as a language of international communication throughout the world",She speaks good English.,noun,
90,wall,"tường, bức tường",/wɔːl/,"a long, solid structure that rises straight up from the ground, made of stone, brick or concrete, that surrounds, divides or protects an area of land",She hung a beautiful painting on the wall.,noun,A1
91,walk,"đi, đi bộ, cuốc bộ",/wɔːk/,"to move or go somewhere by putting one foot in front of the other on the ground, but without running",The baby is just learning to walk.,verb,A1
92,leg,"chân (người, con vật, bàn ghế…)",/leɡ/,one of the long parts that connect the feet to the rest of the body,"Sit on the floor, stretching your legs out in front of you.",noun,A1
93,night,"đêm, tối",/naɪt/,"the time between one day and the next when it is dark, when people usually sleep",These animals only come out at night.,noun,A1
94,want,muốn,/wɒnt/,to have a desire or a wish for something/somebody,Do you want some more tea?,verb,A1
95,each,mỗi,/iːtʃ/,"every thing, person, etc. in a group of two or more, considered separately",Each of the companies supports a local charity.,"determiner, pronoun, adverb",A1
96,must,phải,/məst/,used to say that something is necessary or very important (sometimes involving a rule or a law),All visitors must report to reception.,modal verb,A1
97,cup,"tách, chén",/kʌp/,"a small container that is like a bowl in shape, usually with a handle, used for drinking tea, coffee, etc.",He filled the cup with water.,noun,A1
98,cut,cắt,/kʌt/,"to make an opening or a wound in something, especially with a sharp tool such as a knife or scissors",I have to cut this piece of fabric to the right size for my project.,verb,A1
99,two,số 2,/tuː/,the number 2,There are only two cookies left.,number,A1
100,anyway,"dù sao, dù thế nào chăng nữa",/ˈeniweɪ/,used when adding something to support an idea or argument,It's too expensive and anyway the colour doesn't suit you.,adverb,A2
101,found,"thành lập, sáng lập, xây dựng, đặt nền móng",/faʊnd/,"to start something, such as an organization or an institution, especially by providing money",She left a large sum of money in her will to found a wildlife sanctuary.,verb,B2
102,funny,"buồn cười, khôi hài, vui vẻ",/ˈfʌni/,making you laugh,She tells me a funny story.,adjective,A1
103,think,"nghĩ, suy nghĩ",/θɪŋk/,to have a particular idea or opinion about something/somebody; to believe something,Do you really think that he'll win?,verb,A1
104,standing,vị thế; danh tiếng; địa vị; chức vụ (nhất là xã hội),/ˈstændɪŋ/,"reputation, rank, or position in an area of activity, system, or organization",A financial scandal would shake the Institute's standing in the international academic community.,noun,C1
105,watch,"xem, theo dõi, quan sát",/wɒtʃ/,"to look at somebody/something for a time, paying attention to what happens"," I was in the living room, watching TV.",verb,A1
106,Jew,người Do Thái,/dʒuː/,a member of the people and cultural community whose traditional religion is Judaism and who come from the ancient Hebrew people of Israel; a person who believes in and practises Judaism,He was born a Jew in 1st-century Palestine.,noun,
107,surely,"một cách chắc chắn, không có nghi ngờ",/ˈʃʊəli/ /ˈʃɔːli/,used to show that you are almost certain of what you are saying and want other people to agree with you,Surely we should do something about it?,adverb,B1
108,anymore,(dùng trong câu phủ định) không còn nữa, /ˌen.iˈmɔːr/,"often used at the end of negative sentences and at the end of questions, to mean ‘any longer’",She doesn't live here anymore.,adverb,A2
109,smell,"ngửi, ngửi thấy, đánh hơi thấy; hít",/smel/,to have a particular smell,I can smell the aroma of coffee brewing in the kitchen.,verb,A2
110,late,"trễ, muộn",/leɪt/,"arriving, happening or done after the expected, arranged or usual time",I'm sorry I'm late.,adjective,A1
111,school,trường học,/skuːl/,a place where children go to be educated,My brother and I went to the same school.,noun,A1
112,hat,cái mũ (thường có vành),/hæt/,"a piece of clothing made to fit the head, often with a brim (= a flat edge that sticks out), usually worn out of doors",She wore a wide-brimmed hat to protect her face from the sun.,noun,A1
113,shoot,bắn,/ʃuːt/,to fire a gun or other weapon; to fire something from a weapon,Don't shoot - I surrender.,verb,B2
114,last,cuối cùng,/lɑːst/,happening or coming after all other similar things or people,We caught the last bus home.,determiner,A1
115,wash,"rửa, giặt",/wɒʃ/,to make something/somebody clean using water and usually soap,These jeans need washing.,verb,A1
116,warm,ấm áp,/wɔːrm/,"at a fairly high temperature in a way that is pleasant, rather than being hot or cold",The sun's warm rays felt pleasant on my skin.,adjective,A1
117,swim,bơi,/swɪm/,"to move through water by moving your arms and legs, without touching the bottom",I can't swim.,verb,A1
118,full,đầy,/fʊl/,containing or holding as much or as many as possible; having no empty space,"The parking lot is full, I had to park on the street.",adjective,A1
119,Italian,"(thuộc) Ý, người Ý",/ɪˈtæliən/,from or connected with Italy, I enjoyed a delicious Italian meal with my friends last night.,"noun, adjective",
120,away,"xa, cách xa",/əˈweɪ/,to or at a distance from somebody/something in space or time,The beach is a mile away.,adverb,A1
121,video,"băng ghi hình, vi-deo",/ˈvɪdiəʊ/,"a system of recording moving pictures and sound, either using a digital method of storing data or (in the past) using videotape",A wedding is the perfect subject for video.,noun,A1
122,house,ngôi nhà,/haʊs/,"a building for people to live in, usually for one family",We live in a two-bedroom house.,noun,A1
123,anything,"bất cứ cái gì, bất kì cái gì (trong câu phủ định và câu hỏi)",/ˈeniθɪŋ/,"used instead of something in negative sentences and in questions; after if/whether; and after verbs such as prevent, ban, avoid, etc.",Would you like anything else?,pronoun,A1
124,yesterday,hôm qua,/ˈjestədeɪ/ /ˈjestədi/,on the day before today,A company spokeswoman said yesterday that no final decision had been made yet.,adverb,A1
125,early,"sớm, đầu",/ˈɜːli/,"near the beginning of a period of time, an event etc.",I woke up early this morning to go for a run before work.,adjective,A1
126,yes,"đúng, đồng ý",/jes/,used to answer a question and say that something is correct or true,"‘Is this your car?’ ‘Yes, it is.’",exclamation,A1
127,center,trung tâm,/ˈsentə(r)/,the middle point or part of something,He walked to the center of the circle.,noun,A1
128,start,bắt đầu (công việc..),/stɑːt/,to begin doing or using something,I start work at nine.,verb,A1
129,yet,vẫn chưa,/jet/,used in negative sentences and questions to talk about something that has not happened but that you expect to happen,I haven't received a letter from him yet.,adverb,B2
130,equal,"ngang nhau, bằng nhau",/ˈiːkwəl/,"the same in size, quantity, value, etc. as something else",There is an equal number of boys and girls in the class.,adjective,B1
131,time,thì giờ; thời gian,/taɪm/,"what is measured in minutes, hours, days, etc.",The world exists in time and space.,noun,A1
132,three,số 3,/θriː/,the number 3,There are only three cookies left.,number,A1
133,put,"đặt, để",/pʊt/,to move something into a particular place or position,"Put the cases down there, please.",verb,A1
134,her,(tân ngữ) cô ấy,/hə(r)/,"used as the object of a verb, after the verb be or after a preposition to refer to a woman or girl who has already been mentioned or is easily identified",We're going to call her Sophie.,pronoun,A1
135,teaching,"sự dạy học, công việc dạy học; nghề dạy học",/ˈtiːtʃɪŋ/,the work of a teacher,She wants to go into teaching.,noun,A2
136,smart,thông minh,/smɑːt/,"intelligent, or able to think quickly or intelligently in difficult situations",Why don't you fix it if you're so smart?,adjective,B1
137,computer,máy vi tính,/kəmˈpjuːtə(r)/,"an electronic machine that can store, organize and find information, do processes with numbers and other data, and control other machines","I use my computer every day for work, communication, and entertainment.",noun,A1
138,low,thấp,/ləʊ/,not high or tall; not far above the ground,The temperature outside is quite low today.,adjective,A2
139,tire,"làm mệt mỏi, làm mệt nhọc (cần nghỉ ngơi)",/ˈtaɪə(r)/,to become tired and feel as if you want to sleep or rest; to make somebody feel this way,Her legs were beginning to tire.,verb,
140,choice,"sự chọn, sự lựa chọn",/tʃɔɪs/,an act of choosing between two or more possibilities; something that you can choose,We are faced with a difficult choice.,noun,A2
141,small,"nhỏ, bé",/smɔːl/,"not large in size, number, degree, amount, etc.",I live in a small apartment in the city.,adjective,A1
142,door,"cửa, cửa ra vào (nhà, xe ô tô...)",/dɔː(r)/,"a piece of wood, glass, etc. that is opened and closed so that people can get in and out of a room, building, car, etc.; a similar thing in a cupboard",Please close the door behind you.,noun,A1
143,quick,"nhanh, mau, lẹ",/kwɪk/,done with speed; taking or lasting a short time,I need a quick answer to this question.,adjective,A1
144,before,trước; trước đây,/bɪˈfɔː(r)/,earlier than somebody / something,I need to finish this report before the deadline.,preposition,A1
145,dad,"ba, cha, bố",/dæd/,father,That's my dad over there.,noun,A1
146,tell,"nói, nói với; nói lên, nói ra",/tel/,to give information to somebody by speaking or writing,Can you please tell me what time the meeting starts?,verb,A1
147,husband,chồng,/ˈhʌzbənd/,the man that somebody is married to; a married man,"This is my husband, Steve.",noun,A1
148,him,(tân ngữ) anh ấy,/hɪm/,"used as the object of a verb, after the verb be or after a preposition to refer to a male person or animal that has already been mentioned or is easily identified",When did you see him?,pronoun,A1
149,listen,"nghe, lắng nghe",/ˈlɪsn/,to pay attention to somebody/something that you can hear,Listen! What's that noise? Can you hear it?,verb,A1
150,his,(tính từ sở hữu) của anh ấy,/hɪz/,of or belonging to a man or boy who has already been mentioned or is easily identified,James has sold his car.,determiner,A1
151,day,ngày,/deɪ/,"a period of 24 hours, especially from twelve o'clock one night to twelve o'clock the next night",It took us almost a day to get here.,noun,A1
152,tree,cây,/triː/,"a tall plant that can live a long time. Trees have a thick central wooden trunk from which branches grow, usually with leaves on them",I sat under a tree to read my book and relax.,noun,A1
153,water,nước,/ˈwɔːtə(r)/,"a liquid without colour, smell or taste that falls as rain, is in lakes, rivers and seas, and is used for drinking, washing, etc.",I drink a glass of water every morning.,noun,A1
154,twice,hai lần,/twaɪs/,two times; on two occasions,I don't know him well; I've only met him twice.,adverb,A1
155,their,"(tính từ sở hữu) của họ, của chúng",/ðeə(r)/,"of or belonging to people, animals or things that have already been mentioned or are easily identified",Their parties are always fun.,determiner,A1
156,bike,xe đạp,/baɪk/,a bicycle,I used to ride my bike around the neighbourhood for hours.,noun,A1
157,east,"hướng đông, phương đông, phía đông",/iːst/,the direction that you look towards to see the sun rise; one of the four main points of the compass,Which way is east?,noun,A1
158,clear,"trong xanh, không có mây",/klɪr/,"pure or easy to see through, with no marks or areas that are less transparent",The sky tonight is clear so we can easily see the stars.,adjective,A2
159,clean,"sạch, sạch sẽ; trong sạch",/kliːn/,not dirty,Are your hands clean?,adjective,A1
160,someone,(như somebody) người nào đó,/ˈsʌmwʌn/,a person who is not known or mentioned by name,There's someone at the door.,pronoun,A1
161,build,xây dựng,/bɪld/,"to make something, especially a building, by putting parts together",I'm planning to build a new house on this piece of land.,verb,A2
162,mostly,"hầu hết, phần lớn, thường là, chủ yếu là",/ˈməʊstli/,mainly; generally,The sauce is mostly cream.,adverb,A2
163,republican,"người ủng hộ chế độ Cộng hòa, đảng viên Đảng Cộng hòa",/rɪˈpʌblɪkən/,a person who supports a form of government with a president and politicians elected by the people and with no king or queen,My father always votes Republican.,noun,
164,you,"bạn, các bạn",/juː/,used as the subject or object of a verb or after a preposition to refer to the person or people being spoken or written to,You said you knew the way.,pronoun,A1
165,milk,sữa,/mɪlk/,"the white liquid produced by cows, goats and some other animals as food for their young and used as a drink by humans",I always add milk to my coffee to make it creamy.,noun,A1
166,Arab,"người Ả Rập, (thuộc về) Ả Rập",/ˈærəb/,"a person from the Middle East or North Africa, whose ancestors lived in the Arabian peninsula, belonging to or relating to Arabs or their countries","The Arab countries include Iraq, Saudi Arabia, Syria, and Egypt.",noun,
167,whose,của ai,/huːz/,used in questions to ask who something belongs to,Whose house is that?,"determiner, pronoun",A2
168,African,"(thuộc) châu Phi, người châu Phi",/ˈæfrɪkən/,belonging to or relating to Africa or its people,"The African savannah is home to many iconic animals such as lions, elephants, and giraffes.","noun, adjective",
169,hot,"nóng, nóng bức",/hɒt/,having a high temperature; producing heat,"It's hot today, isn't it?",adjective,A1
170,how,như thế nào,/haʊ/,in what way or manner,How does it work?,adverb,A1
171,hearing,thính giác,/ˈhɪərɪŋ/,the ability to hear,Her hearing is poor.,noun,B2
172,hotel,khách sạn,/həʊˈtel/,"a building where people stay, usually for a short time, paying for their rooms and meals",I need to make a reservation at the hotel for my upcoming trip.,noun,A1
173,so-called,"(người, vật) gọi là",/ˌsəʊ ˈkɔːld/,used to show that you do not think that the word or phrase that is being used to describe somebody/something is appropriate,It was one of his so-called friends who supplied him with the drugs that killed him.,adjective,B2
174,mine,của tôi,/maɪn/,of or belonging to the person writing or speaking,That's mine.,pronoun,A2
175,chip,khoai tây chiên,/tʃɪp/,"a long, thin piece of potato that is fried and usually eaten hot",I enjoy eating chips while watching movies.,noun,A2
176,meet,gặp,/miːt/,to be in the same place as somebody by chance and talk to them,Maybe we'll meet again some time.,verb,A1
177,under,dưới,/ˈʌndə(r)/,"in, to or through a position that is below something",The cat was hiding under the bed during the thunderstorm.,preposition,A1
178,sometimes,"đôi khi, đôi lúc; lúc thì",/ˈsʌmtaɪmz/,occasionally rather than all of the time,It was the cafe where he sometimes had lunch.,adverb,A1
179,down,xuống dưới,/daʊn/,to or at a lower place or position,She jumped down off the chair.,adverb,A1
180,later,sau,/ˈleɪtə(r)/,coming after something else or at a time in the future,"I have a meeting in the morning, but we can meet later in the afternoon.",adjective,A2
181,club,"hội, câu lạc bộ",/klʌb/,an organization for people who share an interest or do a sport or activity together,I go to English club with my friends every afternoon.,noun,A1
182,talk,"nói, nói chuyện",/tɔːk/,"to say things; to speak in order to give information or to express feelings, ideas, etc.",Stop talking and listen!,verb,A1
183,tall,cao,/tɔːl/,having a greater than average height,She's tall and thin.,adjective,A1
184,test,bài kiểm tra,/test/,"an examination of somebody’s knowledge or ability, consisting of questions for them to answer or activities for them to perform",The class are having a spelling test today.,noun,A1
185,count,đếm,/kaʊnt/,to say numbers in the correct order,Billy can't count yet.,verb,B2
186,take,"mang, cầm, nắm, giữ, lấy",/teɪk/,to carry or move something from one place to another,Remember to take your coat when you leave.,verb,A1
187,month,tháng,/mʌnθ/,"any of the twelve periods of time into which the year is divided, for example May or June",The months of July and August are the hottest.,noun,A1
188,some,một lượng không xác định; một vài,/sʌm/,"used with uncountable nouns or plural countable nouns to mean ‘an amount of’ or ‘a number of’, when the amount or number is not given",There's some milk in the fridge.,determiner,A1
189,beginning,"phần mở đầu, lúc bắt đầu, lúc khởi đầu",/bɪˈɡɪnɪŋ/,"the time when something starts; the first part of an event, a story, etc.","A story has to have a beginning, middle, and end.",noun,A1
190,back,lưng,/bæk/,"the part of the human body that is on the opposite side to the chest, between the neck and the tops of the legs; the part of an animal’s body that corresponds to this",I need to lean back in my chair to feel comfortable.,noun,A1
191,miss,"lỡ, bị trễ",/mɪs/,to be or arrive too late for something,If I don't leave now I'll miss my plane.,verb,A1
192,company,công ty,/ˈkʌmpəni/,an organization that sells goods or services in order to make money,He works for a software company.,noun,A1
193,just,chỉ,/dʒʌst/,only,There is just one method that might work.,adverb,A1
194,Mexican,"(thuộc về) nước Mê-hi-cô, người Mê-hi-cô",/ˈmeksɪkən/,from or connected with Mexico,"Mexican cuisine is known for its bold and flavorful dishes, such as tacos, enchiladas, and guacamole.",adjective,
195,home,"nhà, mái ấm gia đình",/həʊm/,"the house or flat that you live in, especially with your family",Old people prefer to stay in their own homes.,noun,A1
196,baby,em bé; con vật con,/ˈbeɪbi/,a very young child or animal,The baby's crying!,noun,A1
197,hope,"hy vọng, mong",/həʊp/,to want something to happen and think that it is possible,All we can do now is wait and hope.,verb,A1
198,Muslim,"(thuộc) Hồi Giáo, người Hồi Giáo",/ˈmʊzlɪm/,someone believing in and practising Islam; connected with the religion of Islam,"During Ramadan, Muslims fast from dawn to sunset.","noun, adjective",
199,text,"văn bản, tin nhắn",/tekst/,any form of written material,I received a text from my friend inviting me to dinner.,noun,A1
200,song,"bài hát, bài ca",/sɒŋ/,a short piece of music with words that you sing,I can't stop humming that catchy song!,noun,A1
201,Japanese,"người Nhật Bản, (thuộc về) nước Nhật Bản",/ˌdʒæpəˈniːz/,"(a person) from Japan, something related to Japan","I love Japanese food, especially sushi.","noun, adjective",
202,dog,chú chó,/dɒɡ/,"an animal with four legs and a tail, often kept as a pet or trained for work, for example hunting or guarding buildings. There are many types of dog, some of which are wild.",I took the dog for a walk.,noun,A1
203,eight,số 8,/eɪt/,the number 8,There are only eight of these rare animals left.,number,A1
204,man,đàn ông,/mæn/,an adult male human,The man who delivers our mail is always so friendly.,noun,A1
205,stand,đứng,/stænd/,to be on your feet; to be in a vertical position,She was too weak to stand.,verb,A1
206,map,bản đồ,/mæp/,"a drawing or plan of the earth’s surface or part of it, showing countries, towns, rivers, etc.",I need to study the map before we start driving.,noun,A1
207,twenty,số hai mươi,/ˈtwenti/,the number 20,She is about twenty.,undefined,A1
208,may,"có lẽ, có thể",/meɪ/,used to say that something is possible,That may or may not be true.,modal verb,B2
